Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
20/09/2026,UPI-SWIGGY-BANGALORE-UPI/428194829104@icici,000042819482,20/09/2026,485.00,,124510.50
19/09/2026,ACH C-TCS LIMITED SALARY CR-SALARY FOR AUG 2026,000089127391,19/09/2026,,115000.00,124995.50
18/09/2026,UPI-ZERODHA BROKING-ZERODHA@HDFC-INVESTMENT SIP,000038192048,18/09/2026,15000.00,,9995.50
17/09/2026,UPI-BLINKIT GROCERIES-BLINKIT@YESBANK,000029481029,17/09/2026,840.00,,24995.50
16/09/2026,POS 40129482 SHELL FUEL PETROL BENGALURU,000010928471,16/09/2026,2200.00,,25835.50
15/09/2026,UPI-AMAZON PAY INDIA-AMAZON@APL-SHOPPING,000094827103,15/09/2026,1899.00,,28035.50
14/09/2026,NETFLIX ENTERTAINMENT SERVICES MUMBAI,000067182910,14/09/2026,649.00,,29934.50
12/09/2026,UPI-UBER INDIA TECHNOLOGY-UBER@ICICI-TRIP,000057291823,12/09/2026,345.00,,30583.50
10/09/2026,BESCOM ELECTRICITY BILL BANGALORE BBPS,000038192019,10/09/2026,1420.00,,30928.50
08/09/2026,UPI-ZOMATO FOOD DELIVERY-ZOMATO@HDFCBANK,000028194012,08/09/2026,590.00,,32348.50
05/09/2026,DIVIDEND CR-NIPPON INDIA MUTUAL FUND-DIV2026,000010928374,05/09/2026,,3500.00,32938.50
03/09/2026,AIRTEL BROADBAND FIBRE RECHARGE BILL,000048192039,03/09/2026,1179.00,,29438.50
